target_id	length	eff_length	est_counts	tpm
YDL193W	1128	949	83	42.663
YLR267W	1713	1534	26	8.26776
YDR104C	3738	3559	60	8.22362
YKL106C-A	120	6.21	0	0
YBL068W-A	237	58.1281	5.40517	45.359
YCR066W	1464	1285	35	13.2863
YGR216C	1830	1651	57	16.841
YBR175W	948	769	67	42.5
YCR085W	354	175	0	0
YPL199C	723	544	134	120.156
YLR373C	2706	2527	68	13.1263
YJR043C	1053	874	33	18.418
YPR043W	279	100	827.635	4037.18
YBR221C	1101	922	550	290.986
YOR358W	729	550	84	74.5001
YDL148C	2433	2254	65	14.0669
YEL052W	1530	1351	207	74.7403
YDR378C	261	82.002	50	297.431
YNL307C	1128	949	206	105.887
YBR296C-A	120	6.21	0	0
YMR295C	594	415	448.868	527.607
YDR472W	852	673	60	43.4887
YBR297W	1407	1228	73.6758	29.2662
YIL142W	1584	1405	533.13	185.096
YML104C	3384	3205	65	9.89294
YJR048W	330	151	11	35.535
YNL199C	1605	1426	90	30.7867
YPR004C	1035	856	184	104.854
YMR043W	861	682	191	136.612
YGL263W	1143	964	18	9.10826
YLR466W	4149	3970	595.001	73.1084
YMR031C	2532	2353	596	123.556
YMR034C	1305	1126	39	16.8953
YGR195W	741	562	67	58.1539
YMR055C	921	742	27	17.7501
YHR216W	1572	1393	221.548	77.5811
YGR225W	1782	1603	12	3.65164
YLR438C-A	270	91.0003	93	498.517
YER070W	2667	2488	87	17.0572
YPL260W	1656	1477	191	63.0802
YGR289C	1851	1672	108.066	31.5278
YBR014C	612	433	71	79.9854
YOL039W	321	142	746.41	2564.07
YPR137C-B	5268	5089	182.512	17.4944
YLR447C	1038	859	425	241.344
YGL014W	2667	2488	198	38.8199
YGL153W	1026	847	74.1636	42.7118
YOL012C	405	226	113	243.899
YPR138C	1470	1291	176	66.5007
YGR171C	1728	1549	33	10.3921
YMR217W	1578	1399	477	166.319
YGL188C	174	14.6185	0	0
YKL166C	1197	1018	40	19.1669
YAL010C	1482	1303	53	19.8414
YDR078C	672	493	18	17.8101
YDR182W	1476	1297	165	62.056
YML074C	1236	1057	792	365.502
YJR151W-A	51	3.50437	0	0
YAL064W	285	106	0	0
YMR019W	2850	2671	81	14.7928
YGR127W	939	760	54	34.6593
YNR011C	2631	2452	71	14.1247
YLL002W	1311	1132	36	15.513
YDR363W-A	270	91.0003	85	455.634
YLL013C	2640	2461	35	6.9374
YBR180W	1719	1540	5	1.58376
YLR372W	1038	859	263	149.349
YGR227W	1578	1399	47	16.3878
YJL216C	1746	1567	24	7.47106
YHL047C	1863	1684	116.489	33.743
YOR037W	1101	922	33	17.4591
YJR108W	372	193	4	10.1098
YJL133C-A	225	46.6066	11	115.129
YDR032C	597	418	575	671.014
YER002W	696	517	122	115.109
YJL014W	1605	1426	387	132.383
YCR033W	3681	3502	199	27.719
YER045C	1470	1291	74	27.9605
YLR364C-A	123	6.43085	0	0
YOR126C	717	538	38	34.4541
YOR199W	330	151	0	0
YJL047C	2529	2350	63	13.0771
YDL118W	381	202	8.8871	21.4609
YER133W-A	342	163	9.0897	27.2021
YLR340W	939	760	4528.34	2906.47
YOR169C	465	286	55.4137	94.5128
YLR193C	528	349	34	47.5219
YEL032W	2916	2737	146	26.0206
YOR108W	1815	1636	105.164	31.3562
YBL016W	1062	883	54	29.8314
YER091C-A	222	43.8484	0	0
YAR002C-A	660	481	268	271.788
YPL179W	1650	1471	167	55.3788
YLR464W	651	472	0	0
YBR129C	987	808	56	33.8078
YER034W	558	379	31	39.899
YML060W	1131	952	16	8.19829
YCL001W	567	388	117	147.094
YOL015W	1761	1582	16	4.93348
YLR218C	453	274	120	213.634
YPR047W	1410	1231	51	20.2093
YOR154W	1764	1585	38	11.6948
YKL123W	381	202	10.2052	24.6441
YPR170W-A	186	19.0638	0	0
YGL100W	1050	871	119	66.6452
YAR064W	300	121	0.5	2.01569
YDR388W	1449	1270	538	206.642
YDR510C-A	117	6.00353	0	0
YLR203C	1311	1132	105	45.2463
YLR215C	1083	904	27	14.5692
YER187W	426	247	14	27.6485
YHR066W	1362	1183	20.8	8.57667
YFL046W	624	445	45	49.3279
YLR312C	1197	1018	46	22.042
YOR375C	1365	1186	1310	538.799
YHR122W	696	517	46	43.4018
YHR088W	888	709	23	15.8242
YDL171C	6438	6259	370	28.8361
YEL068C	333	154	16	50.6803
YPR059C	387	208	22.0417	51.6918
YPL219W	1479	1300	27	10.1312
YPL142C	318	139	390.55	1370.57
YML094W	492	313	33.112	51.6038
YML054C	1776	1597	38	11.607
YBL061C	2091	1912	109.068	27.8259
YOL104C	1059	880	0	0
YBR224W	516	337	0	0
YGL169W	1281	1102	33	14.6074
YCL022C	516	337	5.99538	8.67815
YER154W	1209	1030	137	64.8819
YGR109W-A	873	694	44.0377	30.9532
YNL273W	3717	3538	57	7.85881
YOR236W	636	457	37	39.4935
YGR084C	1020	841	59	34.2213
YDR343C	1713	1534	193.269	61.4579
YFL068W	483	304	0	0
YNL023C	2898	2719	68	12.1994
YKR005C	1578	1399	7	2.44073
YGR016W	573	394	2	2.47613
YNL275W	1731	1552	46	14.4579
YJL206C	2277	2098	34	7.90521
YHR076W	1032	853	80	45.7489
YNL052W	462	283	139	239.59
YKL192C	378	199	100	245.125
YER143W	1287	1108	138	60.7546
YIR035C	765	586	102	84.9068
YPL175W	1359	1180	50	20.6694
YBR251W	924	745	65	42.5596
YDL063C	1863	1684	23	6.66232
YOR329W-A	210	33.6633	0	0
YOR071C	1797	1618	57.5888	17.362
YJL166W	285	106	47	216.288
YGR252W	1320	1141	82	35.0565
